Org;Type_Org;Date_demande;Type_data;Data_pairing;Title;Technical_instruction;Decision;Date_Decision;Status;Inclusion;Exclusion_reason;Specialty;Study_design;Disease or event
Hospices Civils de Lyon;CHU;20080114;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude m‚dico ‚conomique sur le co–t de la non observance du traitement par statines;Termin‚e;Approbation;20090323;IDS;1;;Cardiology;Pharmacoeconomics;Hypertension
INSERM - Unit‚ 780;INSERM;20080804;Extraction d'un ‚chantillon;Non;M‚thodologie d'‚valuation du risque en pharmaco ‚pid‚miologie vaccinale - (Population : enfants vaccin‚s … moins de 2 ans);Termin‚e;Approbation;20090610;IDS;1;;Pediatry;Pharmacoepidemiology;Prevention
INSERM - Unit‚ 912;INSERM;20080725;Extraction d'un ‚chantillon;Oui;Vieillissement, sant‚ et soci‚t‚s : une approche micro/macro ‚conomique;Hors champ;Hors champ;20090610;IDS;0;Not approuved;;;
CNRS - UMR ESPACE 6012;CNRS;20090404;Extraction d'un ‚chantillon;Non;Mod‚lisation du risque sanitaire en milieu urbain par les r‚seaux bay‚siens : application … la ville de Nice;Termin‚e;Non approbation;20091007;IDS;0;Not approuved;;;
ORS PACA;ORS;20090403;Extraction d'un ‚chantillon;Oui;Disparit‚s spatiales du recours aux m‚dicaments psychotropes … Marseille : ‚tude de l'influence du contexte r‚sidentiel par une approche multi niveau;Hors champ;Hors champ;20090610;IDS;0;Not approuved;;;
Hospices Civils de Lyon;CHU;20090427;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude sur la consommation de soins des patients atteints de BPCO … partir de donn‚es issues de l'EGB;Termin‚e;Approbation;20090610;IDS;1;;Pneumology;Descriptive;COPD
HEI - Ecole d'Ing‚nieur;Ecole;20090525;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude de la charge ‚conomique de l'implantation de prothŠses de genoux et de hanches en France;Termin‚e;Approbation;20090610;IDS;1;;Orthopedy;Economics;Medical devices
CNRS - LIRIS UMR 5205;CNRS;20090602;Tb de bord, donn‚es agr‚g‚es, EGB;Non;"Etude ""typologie et analyse pr‚dictive des trajectoires patients""";Hors champ;Hors champ;20090610;IDS;0;Not approuved;;;
INSERM - Unit‚ 780;INSERM;20090929;Extraction d'un ‚chantillon;Non;M‚thodologie d'‚valuation du risque en pharmaco ‚pid‚miologie vaccinale - (Population totale);Termin‚e;Approbation;20100210;IDS;1;;General Medicine;Pharmacoepidemiology;Prevention
EHESP;Ecole;20091104;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude exploratoire du SNIIRAM et de l'EGB en vue de la r‚alisation d'un bulletin trimestriel avec l'IDS : ‚laboration d'indicateurs … des fins de pilotage macro-‚conomique;Termin‚e;Approbation;20091125;IDS;1;;Public health;Economics;NA
INSERM - Unit‚ 687;INSERM;20091116;Extraction d'un ‚chantillon;Oui;Alimentation de la cohorte GAZEL (cohorte de plus de 20 000 pers. volontaires salari‚es d'EDF-GDF rassemblant des donn‚es professionnelles, de diagnostics m‚dicaux, de consommation de soins, de d‚cŠs?);Termin‚e;Approbation;20100210;IDS;1;;Public health;Longitudinal study;NA
IMS Health;Bureau d'‚tude;20091120;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Les facteurs impactant le parcours de soins des patients souffrant de douleur chronique et leur prise en charge en France;Termin‚e;Autres;20100625;IDS;1;;General Medicine;Longitudinal study;Pain
CHU de Rennes;CHU;20100107;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude de faisabilit‚ de l'impact … 3 ans sur l'‚tat de sant‚, la qualit‚ de vie et les co–ts, de 2 strat‚gies th‚rapeutiques dans les formes r‚mittentes 'agressives' de Scl‚roses en Plaque;Termin‚e;Approbation;20100210;IDS;1;;Neurology;Longitudinal study;Multiple sclerosis
CEMKA-EVAL;Bureau d'‚tude;20100129;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Approches possibles de la pr‚valence de syndromes coronariens aigus (SCA) et ‚tude de la prise en charge de ces derniers;Termin‚e;Autres;17/03/2010 + 25/06/2010 + 4/02/2014;IDS;1;;Cardiology;Transversal study;Coronaropathy
CEMKA-EVAL;Bureau d'‚tude;20100129;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude sur les conditions de prise en charge des dispositifs et prestations en matiŠre de Pression Positive Continue (PPC);Termin‚e;Autres;17/03/2010 + 25/06/2010;IDS;1;;Pneumology;Economics;Medical devices
IRDES;IRDES;20100202;Extraction d'un ‚chantillon;Oui;Partenariat Pluridisciplinaire de Recherche sur l'Organisation des Soins de Premier Recours (PROSPERE);Termin‚e;Approbation;20100609;IDS;1;;Primary cares;Longitudinal study;
CEMKA-EVAL;Bureau d'‚tude;20100317;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Elaboration de donn‚es synth‚tiques sur les niveaux de prix de l'offre de soins;Termin‚e;Autres;17/03/2010 + 25/06/2010 + 4/02/2014;IDS;1;;Public health;Descriptive;
Hospices Civils de Lyon;CHU;20100419;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude observationnelle de la persistance aux collyres hypotonisants antiglaucomateux;Termin‚e;Approbation;20100512;IDS;1;;Ophtalmology;Pharmacoepidemiology;Glaucoma
INSERM - Unit‚ 557;INSERM;20100502;Extraction d'un ‚chantillon;Oui;L'‚tude Nutrinet-Sant‚;Termin‚e;Approbation;20100908;IDS;1;;Public health;Longitudinal study;Nutrition
Observatoire de la Sant‚ des V‚t‚rans;Autres;20100716;Extraction d'un ‚chantillon;Oui;Etude Epid‚miologique de morbidit‚ des v‚t‚rans des essais nucl‚aires dans le Pacifique;Termin‚e;Approbation;20100908;IDS;1;;General Medicine;Longitudinal study;Nuclear threads
Agence de la Biom‚decine;Autres;20100806;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude pr‚liminaire sur les possibilit‚s d'appariement entre les bases de donn‚es de l'Agence de Biom‚decine et celles du SNIIRAM;Termin‚e;Approbation;20100908;IDS;1;;Methods;;
INSERM - Unit‚ 700;INSERM;20100827;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Impact potentiel de l'‚tifoxine sur la consommation d'anxiolytiques benzodiaz‚piniques dans le traitement de l'anxi‚t‚;Hors champ;Hors champ;20100908;IDS;0;Not approuved;;;
INSERM - Unit‚ 1018;INSERM;20100902;Extraction d'un ‚chantillon;Oui;Enquˆte VESPA 2010 (VIH : Enquˆte Sur les Personnes Atteintes);Termin‚e;Approbation;20101124;IDS;1;;Infectiology;Descriptive;HIV
STATESIA;Bureau d'‚tude;20101025;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Elaboration d'un modŠle de forfait … la pathologie … partir d'une ‚tude internationale;Termin‚e;Autres;20101124;IDS;1;;Economics;;
APHP-URCECO;CHU;20101029;Extraction d'un ‚chantillon;Oui;Evaluation de l'impact de l'utilisation des d‚fibrillateurs implantables communicants;Termin‚e;Approbation;20110615;IDS;1;;Cardiology;Longitudinal study;Medical Devices
INSERM - Unit‚ 687;INSERM;20101108;Extraction d'un ‚chantillon;Oui;SPIRALE : suivi post-professionnel individuel des travailleurs expos‚s (suivi ‚pid‚miologique des volontaires);Termin‚e;Approbation;20101124;IDS;1;;Occupational Medicine;Longitudinal study;
ORS des Pays de la Loire;ORS;20101117;Tb de bord, donn‚es agr‚g‚es, EGB;Non;"Tableau de bord ® La sant‚ observ‚e dans les Pays de la Loire ¯
Fiche ® M‚dicaments et biologie m‚dicale ¯";Termin‚e;Approbation;20101203;IDS;1;;Public health;Descriptive;
CEPIDC;INSERM;20101123;Extraction d'un ‚chantillon;Oui;Etude de la mortalit‚ faisant suite … une hospitalisation en 2008-2010 et recherche d'indicateurs de mortalit‚ par ‚tablissement;Termin‚e;Approbation;20101124;IDS;1;;Public health;Longitudinal study;Death after un hospital stay
INSERM - Unit‚ 657;INSERM;20110301;Extraction d'un ‚chantillon;Non;Th‚rapie cibl‚e et cancer colorectal : enquˆte … partir des donn‚es de l'Assurance Maladie;Termin‚e;Approbation;20110323;IDS;1;;Gastroenterology;Descriptive;Colorectal cancer
"Association ""Mieux Prescrire""";Autres;20110311;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude de la dur‚e des traitements m‚dicamenteux anti-Alzheimer sp‚cifiques et des associations m‚dicamenteuses;Termin‚e;Approbation;20110323;IDS;1;;Neurology;Pharmacoepidemiology;Alzheimer's disease
H“pital Robert Debr‚ - APHP;CHU;20110314;Extraction d'un ‚chantillon;Oui;Etude SAGhE (Sant‚ Adulte Gh Enfant);Termin‚e;Approbation;20110323;IDS;1;;General Medicine;Descriptive;
CEMKA-EVAL;Bureau d'‚tude;20110405;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Interˆt de la vildagliptine par rapport aux sulfamides hypoglycemiants sur le plan de la fr‚quence des hypoglyc‚mies sŠvŠres dans le diabŠte de type 2;Termin‚e;Autres;20110518;IDS;1;;Endocrinology;Pharmacoepidemiology;Diabetes
Association des Professionnels de P‚rinatalit‚s de Bourgogne;Autres;20110421;Extraction d'un ‚chantillon;Oui;Etude du co–t de la pr‚maturit‚ et de ses d‚terminants m‚dicaux et socio-‚conomiques en Bourgogne;Termin‚e;Approbation;20111109;IDS;1;;Pediatry;Transversal study;Preterm births
CHU de Toulouse;CHU;20110426;Extraction d'un ‚chantillon;Oui;Evaluation du risque potentiel li‚ … la vaccination contre la grippe A/H1N1 chez la femme enceinte … partir de la base de donn‚es EFEMERIS;Termin‚e;Approbation;20110518;IDS;1;;Gynecology;Longitudinal study;Flu vaccin
INCA;Agence;20110506;Extraction d'un ‚chantillon;Non;Cohorte cancer : Tableaux de bord et ‚tudes m‚dico-‚conomiques de la trajectoire des patients atteints d'un cancer;Termin‚e;Approbation;20110518;IDS;1;;Oncology;Economics;Malign tumor
CHU de Rennes;CHU;20110704;Extraction d'un ‚chantillon;Non;Comparaison de l'impact des associations fixes d'antihypertenseurs par rapport aux combinaisons des mˆmes principes actifs sur la morbidit‚ cardiovasculaire et la mortalit‚;Termin‚e;Approbation;20110913;IDS;1;;Cardiology;Pharmacoepidemiology;Hypertension
CHU de Rennes;CHU;20110704;Extraction d'un ‚chantillon;Non;Substitution princeps generique d'anti epileptique et d‚s‚quilibre de la maladie epileptique;Termin‚e;Approbation;20110913;IDS;1;;Neurology;Pharmacoepidemiology;epilepsy
INPES;Agence;20110712;Tb de bord, donn‚es agr‚g‚es, EGB;Non;D‚finition d'indicateurs permettant l'‚valuation des actions du programme sant‚ sexuelle;Termin‚e;Approbation;20110829;IDS;1;;Public health;Descriptive;Sexual health
IRSN;Agence;20110512;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Exposition de la population fran‡aise aux rayonnements ionisants li‚s aux actes de diagnostic principal;Termin‚e;Approbation;20110831;IDS;1;;Public health;Longitudinal study;Nuclear threads
FNORS;ORS;20110915;Tb de bord, donn‚es agr‚g‚es, EGB;Non;D‚veloppements d'indicateurs pour le site d'information en sant‚ SCORE-Sant‚;Termin‚e;Approbation;20111010;IDS;1;;Public health;Longitudinal study;NA
EHESP;Ecole;20111010;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Analyse du parcours de soins des patients atteints de la maladie d'Alzheimer;Termin‚e;Approbation;20111019;IDS;1;;Neurology;Longitudinal study;Alzheimer's disease
Observatoire R‚gional de la Sant‚ et du Social de Picardie;ORS;20111019;Tb de bord, donn‚es agr‚g‚es, EGB;Non;El‚ments de connaissance … la mesure de la sant‚ de la population … l'int‚rieur de la Picardie;Termin‚e;Approbation;20111021;IDS;1;;Public health;Descriptive;NA
Hospices Civils de Lyon - P“le IMER;CHU;20111021;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Etude Preg-Med (Pr‚valence, tendance et effets ind‚sirables des m‚dicaments utilis‚s chez les femmes enceintes pendant leurs grossesses dans la population en France);Termin‚e;Approbation;20111107;IDS;1;;Gynecology;Longitudinal study;Pregnancy
